Id,SalePrice
1461,196909.58588737706
1462,143208.77878717796
1463,113197.83157299495
1464,227456.4751423141
1465,88622.42587097532
1466,101856.4627864095
1467,256007.78920623273
1468,122642.0166925253
1469,476070.4729837696
1470,151146.02954830296
1471,186372.76722235882
1472,149587.8482162731
1473,225391.43561794682
1474,112257.16812775083
1475,127220.96704727915
1476,146471.98233436403
1477,227966.87537227536
1478,112966.30563690803
1479,144950.07493177243
1480,185427.64134273032
1481,131147.01393942133
1482,142596.5184336082
1483,99238.98693865011
1484,162464.04331927194
1485,182366.41459945063
1486,200412.09497926122
1487,164797.88471215533
1488,82897.69035583115
1489,333539.6118937935
1490,118263.14581995692
1491,139600.2737138531
1492,194934.02700634665
1493,138963.45118279604
1494,291571.6717285943
1495,315580.1416183683
1496,181648.0807800413
1497,272042.9576661356
1498,126774.77708840146
1499,225654.4479243948
1500,301530.4291381707
1501,192555.93919325888
1502,124727.03863185551
1503,179638.12900142692
1504,305785.835221414
1505,327043.2841980183
1506,147653.7900822641
1507,122267.7727088974
1508,128065.24670076829
1509,162946.05428831608
1510,102726.3928716877
1511,396302.8732593088
1512,144868.62756982588
1513,168177.2516689273
1514,93111.43689151222
1515,254488.04099729806
1516,108934.40846530814
1517,131735.53404912146
1518,248832.30931669008
1519,145632.2145586063
1520,106071.44385757235
1521,144328.8568383489
1522,133643.34003086327
1523,146249.5900346981
1524,151954.58372103501
1525,192890.57554852145
1526,151728.3873907024
1527,123474.43444921407
1528,213180.6526676194
1529,122240.43188355069
1530,187896.46186468977
1531,178006.29854840995
1532,117212.25414609445
1533,82663.22216378829
1534,225973.65078402578
1535,92182.82903262721
1536,265215.2275746141
1537,131592.51260764987
1538,109186.41693272404
1539,271689.72246398067
1540,157796.3968840851
1541,135632.1779157121
1542,131749.67295880133
1543,121882.07883856018
1544,141699.06994580285
1545,178542.224695444
1546,197496.24308856312
1547,96248.36232706778
1548,195019.84755744238
1549,167582.23258068183
1550,140601.5411177198
1551,191643.60070087886
1552,192282.37979831372
1553,182396.72959135595
1554,216333.16491740418
1555,199145.2789849347
1556,149770.50830910075
1557,203396.90810937024
1558,176454.82675456116
1559,119497.92097223492
1560,137897.2475057836
1561,261248.0540021532
1562,228641.89220405696
1563,120068.81654990779
1564,155021.4344880497
1565,110961.26162588262
1566,259971.94962911645
1567,146970.22280944636
1568,88361.25003543918
1569,171523.33476705058
1570,114307.58612808725
1571,87155.86164982902
1572,127231.81923917918
1573,195740.33527692573
1574,119126.88723874088
1575,167192.01660615212
1576,160756.38020741538
1577,417670.6655439434
1578,127567.25464736106
1579,186588.84594220654
1580,255085.21222693354
1581,163812.26414038255
1582,167096.44515451638
1583,136431.4091944655
1584,218018.98373518133
1585,232101.8235079285
1586,214569.2085239661
1587,385039.1357495182
1588,196694.4036671333
1589,198712.95926592758
1590,170767.48437280356
1591,218823.97714989263
1592,204245.76718427075
1593,133608.5348772164
1594,178598.88837567778
1595,104508.00322813114
1596,229356.58501586152
1597,130204.75728949995
1598,191189.76651218763
1599,109213.78167726519
1600,177415.92138747245
1601,145546.0705325507
1602,135207.04198617203
1603,201156.46334966226
1604,145877.5250209047
1605,140754.14043532024
1606,183336.54510453873
1607,225143.6912293237
1608,141251.33475135002
1609,274204.4019718823
1610,235406.40271877084
1611,165826.30732522625
1612,363567.71421198186
1613,278254.93000423955
1614,163542.51457373748
1615,170884.6771514892
1616,261362.10891592375
1617,119924.295287158
1618,187784.02281773966
1619,119421.79758063023
1620,174216.12983526333
1621,123942.03802442014
1622,147976.9864415055
1623,193878.75971128844
1624,110795.61087667066
1625,243734.97944143598
1626,122214.79995122348
1627,166892.68964865757
1628,275506.36324421735
1629,184137.52561648612
1630,177517.17047229776
1631,164849.2271617746
1632,161491.13986649862
